Name,Title,Place publication,Publisher,Date of publication
"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals",Oxford,Oxford University Press,2018
"Connelly, Mark",George Orwell : a literary companion,"Jefferson, North Carolina",McFarland,2018
"Ryan, David","George Orwell on screen : adaptations, documentaries and docudramas on film and television","Jefferson, North Carolina",McFarland,2018
"Ingle, Stephen",Orwell reconsidered,London,Routledge,2019
"Ingle, Stephen",Orwell reconsidered,London,Routledge,2019
"Topp, Sylvia",Eileen : the making of George Orwell,London,Unbound,2020
"Keeble, Richard",Journalism beyond Orwell : a collection of essays,London,Routledge,2020
"Keeble, Richard",Journalism beyond Orwell : a collection of essays,London,Routledge,2020
"Topp, Sylvia",Eileen : the making of George Orwell,London,Unbound,2021
"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2018
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,New York,Penguin,2017
"Ricks, Thomas E.",Churchill & Orwell : the fight for freedom,London,Duckworth Overlook,2017
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,London,Gerald Duckworth,2017
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,London,Duckworth Overlook,2018
"Orwell, George",Orwell's England,London,Penguin,2020
"Orwell, George",Orwell and England : selected essays,London,Macmillan,2021
"Hall, Christopher","'In Spain with Orwell' : George Orwell and the Independent Labour Party volunteers in the Spanish Civil War, 1936-1939",Perth,Tippermuir,2013
"Orwell, George",Homage to Catalonia,London,Viking,2013
"Orwell, George",Homage to Catalonia,London,Penguin,2003
"Orwell, George",Homage to Catalonia,London,Harvill Secker,2018
"Orwell, George","Orwell in Spain : the full text of Homage to Catalonia with associated articles, reviews and letters from The complete works of George Orwell",London,Penguin,2020
"Orwell, George",Homage to Catalonia,London,Harper,2021
"Orwell, George",Homage to Catalonia,Oxford,Oxford University Press,2021
"Orwell, George",Homage to Catalonia,London,Vintage Classics,2021
"Orwell, George",Homage to Catalonia,London,Arcturus,2021
"Orwell, George",Homage to Catalonia,London,Harper,2021
"Orwell, George",Homage to Catalonia,London,Harper,2021
"Orwell, George",Homage to Catalonia,London,Macmillan,2021
"Orwell, George",Homage to Catalonia,London,Arcturus Digital,2021
"Lavoie, Fr̩d̩rick",Orwell in Cuba : how 1984 came to be published in Castro's twilight,"Vancouver, British Columbia",Talonbooks,2020
